Fecha ,28 dias,1 an,3 an,5 an,10 an
24/11/2016,5.48,NA,NA,NA,NA
01/12/2016,5.62,NA,NA,7.02,NA
08/12/2016,5.59,6.20,NA,NA,7.25
15/12/2016,5.51,NA,6.45,NA,NA
22/12/2016,5.65,NA,NA,NA,NA
29/12/2016,5.69,NA,NA,7.25,NA
05/01/2017,5.82,6.68,NA,NA,NA
12/01/2017,5.87,NA,7.39,NA,NA
19/01/2017,5.86,NA,NA,NA,7.60
26/01/2017,5.77,NA,NA,7.36,NA
02/02/2017,5.88,6.92,NA,NA,NA
09/02/2017,5.90,NA,6.94,NA,NA
16/02/2017,6.21,NA,NA,NA,NA
23/02/2017,6.24,NA,NA,7.24,NA
02/03/2017,6.25,6.92,NA,NA,7.40
09/03/2017,6.29,NA,7.04,NA,NA
16/03/2017,6.30,NA,NA,NA,NA
23/03/2017,6.32,NA,NA,7.08,NA
30/03/2017,6.43,6.90,NA,NA,NA
06/04/2017,6.48,NA,6.97,NA,NA
12/04/2017,6.54,NA,NA,NA,7.24
20/04/2017,6.47,NA,NA,6.95,NA
27/04/2017,6.50,6.99,NA,NA,NA
04/05/2017,6.50,NA,7.01,NA,NA
11/05/2017,6.49,NA,NA,NA,NA
18/05/2017,6.53,NA,NA,7.04,NA
25/05/2017,6.71,7.23,NA,NA,7.32
01/06/2017,6.72,NA,7.28,NA,NA
08/06/2017,6.74,NA,NA,NA,NA
15/06/2017,6.79,NA,NA,7.05,NA
22/06/2017,6.87,7.20,NA,NA,NA
29/06/2017,6.96,NA,6.65,NA,NA
06/07/2017,7.00,NA,NA,NA,6.88
13/07/2017,6.98,NA,NA,6.63,NA
20/07/2017,6.99,7.23,NA,NA,NA
27/07/2017,6.99,NA,6.82,NA,NA
03/08/2017,6.99,NA,NA,NA,NA
10/08/2017,6.96,NA,NA,6.77,NA
17/08/2017,6.91,7.22,NA,NA,6.89
24/08/2017,6.92,NA,6.72,NA,NA
31/08/2017,6.91,NA,NA,NA,NA
07/09/2017,6.98,NA,NA,6.78,NA
14/09/2017,6.98,7.18,NA,NA,NA
21/09/2017,6.98,NA,6.72,NA,NA
28/09/2017,7.00,NA,NA,NA,6.79
05/10/2017,7.03,NA,NA,6.71,NA
12/10/2017,7.03,7.18,NA,NA,NA
19/10/2017,7.04,NA,7.06,NA,NA
26/10/2017,7.02,NA,NA,NA,NA
01/11/2017,7.03,NA,NA,7.10,NA
09/11/2017,7.02,7.27,NA,NA,7.19
16/11/2017,7.01,NA,7.05,NA,NA
23/11/2017,7.02,NA,NA,NA,NA
30/11/2017,7.01,NA,NA,7.10,NA
07/12/2017,7.02,7.33,NA,NA,NA
14/12/2017,7.19,NA,7.17,NA,NA
21/12/2017,7.24,NA,NA,NA,7.53
28/12/2017,7.22,NA,NA,7.75,NA
04/01/2018,7.25,7.78,NA,NA,NA
11/01/2018,7.24,NA,7.54,NA,NA
18/01/2018,7.24,NA,NA,NA,NA
25/01/2018,7.25,NA,NA,7.46,NA
01/02/2018,7.24,7.70,NA,NA,7.64
08/02/2018,7.35,NA,7.47,NA,NA
15/02/2018,7.50,NA,NA,NA,NA
22/02/2018,7.49,NA,NA,7.65,NA
01/03/2018,7.47,7.85,NA,NA,NA
08/03/2018,7.50,NA,7.47,NA,NA
15/03/2018,7.46,NA,NA,NA,7.52
22/03/2018,7.44,NA,NA,7.44,NA
28/03/2018,7.49,7.80,NA,NA,NA
05/04/2018,7.46,NA,7.19,NA,NA
12/04/2018,7.47,NA,NA,NA,NA
19/04/2018,7.45,NA,NA,7.21,NA
26/04/2018,7.45,7.71,NA,NA,7.54
03/05/2018,7.47,NA,7.40,NA,NA
10/05/2018,7.52,NA,NA,NA,NA
17/05/2018,7.58,NA,NA,7.73,NA
24/05/2018,7.51,7.94,NA,NA,NA
31/05/2018,7.48,NA,7.65,NA,NA
07/06/2018,7.51,NA,NA,NA,7.88
14/06/2018,7.62,NA,NA,7.92,NA
21/06/2018,7.71,8.10,NA,NA,NA
28/06/2018,7.70,NA,7.79,NA,NA
05/07/2018,7.72,NA,NA,NA,NA
12/07/2018,7.74,NA,NA,7.65,NA
19/07/2018,7.74,8.19,NA,NA,7.75
26/07/2018,7.72,NA,7.83,NA,NA
02/08/2018,7.74,NA,NA,NA,NA
09/08/2018,7.74,NA,NA,7.59,NA
16/08/2018,7.74,8.15,NA,NA,NA
23/08/2018,7.71,NA,7.83,NA,NA
30/08/2018,7.72,NA,NA,NA,7.83
06/09/2018,7.70,NA,NA,8.00,NA
13/09/2018,7.70,8.26,NA,NA,NA
20/09/2018,7.69,NA,7.96,NA,NA
27/09/2018,7.65,NA,NA,NA,NA
04/10/2018,7.67,NA,NA,7.76,NA
11/10/2018,7.70,8.20,NA,NA,8.17
18/10/2018,7.65,NA,7.91,NA,NA
25/10/2018,7.72,NA,NA,NA,NA
01/11/2018,7.76,NA,NA,8.57,NA
08/11/2018,7.71,8.49,NA,NA,NA
15/11/2018,7.79,NA,8.68,NA,NA
22/11/2018,7.94,NA,NA,NA,9.11
29/11/2018,7.97,NA,NA,9.02,NA
06/12/2018,7.95,8.67,NA,NA,NA
13/12/2018,7.97,NA,8.87,NA,NA
20/12/2018,8.00,NA,NA,NA,NA
27/12/2018,8.17,NA,NA,8.79,NA
03/01/2019,8.06,NA,8.56,NA,NA
10/01/2019,8.00,8.62,NA,NA,8.71
17/01/2019,7.91,NA,NA,NA,NA
24/01/2019,7.91,NA,NA,8.44,NA
31/01/2019,7.86,8.42,NA,NA,NA
07/02/2019,7.90,NA,8.17,NA,NA
14/02/2019,7.88,NA,NA,NA,8.49
21/02/2019,7.85,NA,NA,8.10,NA
28/02/2019,8.10,8.20,NA,NA,NA
07/03/2019,8.00,NA,8.01,NA,NA
14/03/2019,8.09,NA,NA,NA,NA
21/03/2019,8.15,NA,NA,7.92,NA
28/03/2019,7.85,8.05,NA,NA,8.01
04/04/2019,7.80,NA,7.87,NA,NA
11/04/2019,7.76,NA,NA,NA,NA
17/04/2019,7.81,NA,NA,7.89,NA
25/04/2019,7.75,8.15,NA,NA,NA
02/05/2019,8.20,NA,7.98,NA,NA
09/05/2019,8.02,NA,NA,NA,8.24
16/05/2019,8.05,NA,NA,7.94,NA
23/05/2019,8.03,8.28,NA,NA,NA
30/05/2019,8.05,NA,7.82,NA,NA
06/06/2019,8.30,NA,NA,NA,NA
13/06/2019,8.28,NA,NA,7.57,NA
20/06/2019,8.24,8.16,NA,NA,7.68
27/06/2019,8.18,NA,7.57,NA,NA
04/07/2019,8.10,NA,NA,NA,NA
11/07/2019,8.17,NA,NA,7.37,NA
18/07/2019,8.13,8.04,NA,NA,NA
25/07/2019,8.15,NA,7.37,NA,NA
01/08/2019,8.01,NA,NA,NA,7.53
08/08/2019,8.15,NA,NA,7.33,NA
15/08/2019,8.05,7.78,NA,NA,NA
22/08/2019,7.96,NA,7.12,NA,NA
29/08/2019,7.87,NA,NA,NA,NA
05/09/2019,7.81,NA,NA,6.84,NA
12/09/2019,7.72,7.39,NA,NA,7.08
19/09/2019,7.72,NA,7.01,NA,NA
26/09/2019,7.61,NA,NA,NA,NA
03/10/2019,7.65,NA,NA,6.72,NA
10/10/2019,7.70,7.18,NA,NA,NA
17/10/2019,7.67,NA,6.68,NA,NA
24/10/2019,7.65,NA,NA,NA,6.87
31/10/2019,7.62,NA,NA,6.67,NA
07/11/2019,7.55,7.12,NA,NA,NA
14/11/2019,7.45,NA,6.62,NA,NA
21/11/2019,7.43,NA,NA,NA,NA
28/11/2019,7.46,NA,NA,6.99,NA
05/12/2019,7.40,7.18,NA,NA,7.14
11/12/2019,7.04,NA,6.76,NA,NA
19/12/2019,6.80,NA,NA,NA,NA
26/12/2019,7.25,NA,NA,6.80,NA
02/01/2020,7.25,7.18,NA,NA,NA
09/01/2020,7.26,NA,6.80,NA,NA
16/01/2020,7.00,NA,NA,NA,6.85
23/01/2020,7.05,NA,NA,6.77,NA
